,id,display_name,works_api_url,h_index,works_count,country_code
482,https://openalex.org/A5064735018,Niccolò Pescetelli,https://api.openalex.org/works?filter=author.id:A5064735018,9,52,US
483,https://openalex.org/A5008862185,Federico Pilati,https://api.openalex.org/works?filter=author.id:A5008862185,2,12,IT
484,https://openalex.org/A5088309672,Oriol Artime,https://api.openalex.org/works?filter=author.id:A5088309672,11,28,ES
485,https://openalex.org/A5005219721,Pier Luigi Sacco,https://api.openalex.org/works?filter=author.id:A5005219721,25,259,IT
486,https://openalex.org/A5030239300,Aidar Zinnatullin,https://api.openalex.org/works?filter=author.id:A5030239300,0,6,IT
487,https://openalex.org/A5090042292,Fredrik Jansson,https://api.openalex.org/works?filter=author.id:A5090042292,15,64,NL
488,https://openalex.org/A5077141102,Isabel G Sebire,https://api.openalex.org/works?filter=author.id:A5077141102,1,1,GB
489,https://openalex.org/A5000013234,Valerii Chirkov,https://api.openalex.org/works?filter=author.id:A5000013234,3,3,DE
490,https://openalex.org/A5068201653,Sara Bonati,https://api.openalex.org/works?filter=author.id:A5068201653,4,39,IT
491,https://openalex.org/A5086655976,Anne-Marie Nußberger,https://api.openalex.org/works?filter=author.id:A5086655976,5,15,DE
492,https://openalex.org/A5039656516,Daniel Torren Peraire,https://api.openalex.org/works?filter=author.id:A5039656516,0,1,ES
493,https://openalex.org/A5025144355,Ivan Savin,https://api.openalex.org/works?filter=author.id:A5025144355,16,125,ES
494,https://openalex.org/A5079949070,Hyeseung Shim,https://api.openalex.org/works?filter=author.id:A5079949070,0,1,KR
495,https://openalex.org/A5037234320,Jihoon Kim,https://api.openalex.org/works?filter=author.id:A5037234320,69,1556,KR
496,https://openalex.org/A5002639796,Junseong Ahn,https://api.openalex.org/works?filter=author.id:A5002639796,21,134,KR
497,https://openalex.org/A5049203961,Chung-Kon Shi,https://api.openalex.org/works?filter=author.id:A5049203961,6,89,KR
498,https://openalex.org/A5037204027,Christoph Kern,https://api.openalex.org/works?filter=author.id:A5037204027,30,156,US
499,https://openalex.org/A5078399314,Rob Chew,https://api.openalex.org/works?filter=author.id:A5078399314,10,60,US
500,https://openalex.org/A5025141355,Jacob Beck,https://api.openalex.org/works?filter=author.id:A5025141355,32,136,NL
501,https://openalex.org/A5085081313,Stephanie Eckman,https://api.openalex.org/works?filter=author.id:A5085081313,14,94,US
502,https://openalex.org/A5023885866,Narayani Vedam,https://api.openalex.org/works?filter=author.id:A5023885866,1,2,US
503,https://openalex.org/A5078311188,Huiyi Lv,https://api.openalex.org/works?filter=author.id:A5078311188,3,11,CN
504,https://openalex.org/A5026693454,G. S. Davies,https://api.openalex.org/works?filter=author.id:A5026693454,75,246,GB
505,https://openalex.org/A5035102250,Ahmad Hesam,https://api.openalex.org/works?filter=author.id:A5035102250,10,27,NL
506,https://openalex.org/A5021955713,Zaid Al-Ars,https://api.openalex.org/works?filter=author.id:A5021955713,21,251,NL
507,https://openalex.org/A5073843631,Fons Rademakers,https://api.openalex.org/works?filter=author.id:A5073843631,11,75,CH
508,https://openalex.org/A5079323137,F. P. Pijpers,https://api.openalex.org/works?filter=author.id:A5079323137,19,108,NL
509,https://openalex.org/A5090048784,Paul M. Salmon,https://api.openalex.org/works?filter=author.id:A5090048784,55,674,AU
510,https://openalex.org/A5080376515,Chris Baber,https://api.openalex.org/works?filter=author.id:A5080376515,37,376,GB
511,https://openalex.org/A5066580301,Gemma J. M. Read,https://api.openalex.org/works?filter=author.id:A5066580301,23,155,AU
512,https://openalex.org/A5033464409,Tony Carden,https://api.openalex.org/works?filter=author.id:A5033464409,4,16,AU
513,https://openalex.org/A5004792776,Neville A. Stanton,https://api.openalex.org/works?filter=author.id:A5004792776,71,625,GB
514,https://openalex.org/A5012701585,Michael Inzlicht,https://api.openalex.org/works?filter=author.id:A5012701585,58,312,CA
515,https://openalex.org/A5083516599,Kristina Aleksandrovna Pedersen,https://api.openalex.org/works?filter=author.id:A5083516599,0,1,
516,https://openalex.org/A5048401675,Jonas Skjold Raaschou-Pedersen,https://api.openalex.org/works?filter=author.id:A5048401675,0,1,DK
517,https://openalex.org/A5039256697,Anna Rogers,https://api.openalex.org/works?filter=author.id:A5039256697,15,39,DK
518,https://openalex.org/A5049098969,Kai He,https://api.openalex.org/works?filter=author.id:A5049098969,79,837,CN
519,https://openalex.org/A5026062073,Q. Meng,https://api.openalex.org/works?filter=author.id:A5026062073,2,8,CN
520,https://openalex.org/A5002318539,Xiao Zhang,https://api.openalex.org/works?filter=author.id:A5002318539,130,5547,CN
521,https://openalex.org/A5058608624,Inga Kristina Trauthig,https://api.openalex.org/works?filter=author.id:A5058608624,2,7,US
